"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 24 20:18:07 UTC 2025","Mon Mar 24 20:18:07 UTC 2025","40","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistrationMissingParams","Register user - error - without params",""
"passed","Mon Mar 24 20:18:07 UTC 2025","Mon Mar 24 20:18:08 UTC 2025","598","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsers","inactiveUsers - successful",""
"passed","Mon Mar 24 20:18:07 UTC 2025","Mon Mar 24 20:18:07 UTC 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionInvalidTimeFormat","Record Session - error - Invalid format",""
"broken","Mon Mar 24 20:18:10 UTC 2025","Mon Mar 24 20:18:10 UTC 2025","6","","getUserLastSessionDate","","org.itmo.testing.lab2.service.UserStatusServiceTest$GetUserLastSessionDateTests","getUserLastSessionDate_ReturnsEmpty","empty result",""
"passed","Mon Mar 24 20:18:05 UTC 2025","Mon Mar 24 20:18:07 UTC 2025","2172","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration","Register user - successful",""
"passed","Mon Mar 24 20:18:10 UTC 2025","Mon Mar 24 20:18:10 UTC 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","getUserStatus_ReturnsCorrectStatus","getUserStatus [5] user4, 121, Highly active",""
"passed","Mon Mar 24 20:18:08 UTC 2025","Mon Mar 24 20:18:08 UTC 2025","10","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivityInvalidMonth","monthlyActivity - error - Invalid month param",""
"passed","Mon Mar 24 20:18:08 UTC 2025","Mon Mar 24 20:18:08 UTC 2025","26","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivity","monthlyActivity - successful",""
"failed","Mon Mar 24 20:18:07 UTC 2025","Mon Mar 24 20:18:07 UTC 2025","77","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration_AlreadyRegistered","Register user - error - user is already registered",""
"passed","Mon Mar 24 20:18:08 UTC 2025","Mon Mar 24 20:18:08 UTC 2025","19","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivityMissingParams","monthlyActivity - error - without params",""
"passed","Mon Mar 24 20:18:07 UTC 2025","Mon Mar 24 20:18:07 UTC 2025","26","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivityMissingUserId","totalActivity - error - no userId",""
"passed","Mon Mar 24 20:18:08 UTC 2025","Mon Mar 24 20:18:08 UTC 2025","13","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsersMissingDays","inactiveUsers - error - without params",""
"passed","Mon Mar 24 20:18:10 UTC 2025","Mon Mar 24 20:18:10 UTC 2025","56","","getUserLastSessionDate","","org.itmo.testing.lab2.service.UserStatusServiceTest$GetUserLastSessionDateTests","testGetUserLastSessionDate","basic scenario",""
"passed","Mon Mar 24 20:18:10 UTC 2025","Mon Mar 24 20:18:10 UTC 2025","236","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","getUserStatus_ReturnsCorrectStatus","getUserStatus [1] user0, 90, Active",""
"passed","Mon Mar 24 20:18:07 UTC 2025","Mon Mar 24 20:18:07 UTC 2025","17","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession","Record Session - successful",""
"passed","Mon Mar 24 20:18:07 UTC 2025","Mon Mar 24 20:18:07 UTC 2025","48","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivity","totalActivity - successful",""
"failed","Mon Mar 24 20:18:07 UTC 2025","Mon Mar 24 20:18:07 UTC 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionLogoutTimeBeforeLoginTime","Record Session - error - logout < login Time",""
"failed","Mon Mar 24 20:18:08 UTC 2025","Mon Mar 24 20:18:08 UTC 2025","24","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsersInvalidDays","inactiveUsers - error - Invalid format",""
"passed","Mon Mar 24 20:18:10 UTC 2025","Mon Mar 24 20:18:10 UTC 2025","2","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","getUserStatus_ReturnsCorrectStatus","getUserStatus [4] user3, 10, Inactive",""
"passed","Mon Mar 24 20:18:10 UTC 2025","Mon Mar 24 20:18:10 UTC 2025","4","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","getUserStatus_ReturnsCorrectStatus","getUserStatus [3] user2, 0, Inactive",""
