"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 24 20:49:50 UTC 2025","Mon Mar 24 20:49:50 UTC 2025","134","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","getUserStatus_ReturnsCorrectStatus","getUserStatus [1] user0, 90, Active",""
"broken","Mon Mar 24 20:49:50 UTC 2025","Mon Mar 24 20:49:50 UTC 2025","3","","getUserLastSessionDate","","org.itmo.testing.lab2.service.UserStatusServiceTest$GetUserLastSessionDateTests","getUserLastSessionDate_ReturnsEmpty","empty result",""
"passed","Mon Mar 24 20:49:48 UTC 2025","Mon Mar 24 20:49:48 UTC 2025","32","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivity","monthlyActivity - successful",""
"passed","Mon Mar 24 20:49:47 UTC 2025","Mon Mar 24 20:49:47 UTC 2025","38","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession","Record Session - successful",""
"passed","Mon Mar 24 20:49:50 UTC 2025","Mon Mar 24 20:49:50 UTC 2025","2","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","getUserStatus_ReturnsCorrectStatus","getUserStatus [5] user4, 121, Highly active",""
"passed","Mon Mar 24 20:49:50 UTC 2025","Mon Mar 24 20:49:50 UTC 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","getUserStatus_ReturnsCorrectStatus","getUserStatus [4] user3, 10, Inactive",""
"passed","Mon Mar 24 20:49:47 UTC 2025","Mon Mar 24 20:49:47 UTC 2025","60","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivity","totalActivity - successful",""
"passed","Mon Mar 24 20:49:50 UTC 2025","Mon Mar 24 20:49:50 UTC 2025","51","","getUserLastSessionDate","","org.itmo.testing.lab2.service.UserStatusServiceTest$GetUserLastSessionDateTests","testGetUserLastSessionDate","basic scenario",""
"passed","Mon Mar 24 20:49:47 UTC 2025","Mon Mar 24 20:49:47 UTC 2025","35","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionInvalidTimeFormat","Record Session - error - Invalid format",""
"failed","Mon Mar 24 20:49:47 UTC 2025","Mon Mar 24 20:49:47 UTC 2025","16","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionLogoutTimeBeforeLoginTime","Record Session - error - logout < login Time",""
